RXCUI_IN,RxNormName,ICD9,IndicationName,MENTIONEDBYRESOURCES,HIGHPRECISIONSUBSET,POSSIBLE_LABEL_USE
44,Mesna,599.7,Hematuria,1,0,0
44,Mesna,599.7,Hematuria; unspecified,1,0,0
44,Mesna,791.9,Other nonspecific findings on examination of urine,1,0,0
44,Mesna,799.89,Other ill-defined conditions,1,0,0
44,Mesna,459,Hemorrhage NOS,1,1,0
44,Mesna,595,Cystitis,2,1,1
44,Mesna,595.9,Cystitis NOS,3,1,1
44,Mesna,977.9,Poisoning by unspecified drug or medicinal substance,1,1,0
73,Docosahexaenoate,153.9,Malignant neoplasm of colon; unspecified,1,0,0
73,Docosahexaenoate,185,Malignant neoplasm of prostate,1,0,0
73,Docosahexaenoate,260-269.99,,1,0,0
73,Docosahexaenoate,269.9,Unspecified nutritional deficiency,1,0,0
73,Docosahexaenoate,279.49,Autoimmune disease; not elsewhere classified (ADDED),1,0,0
73,Docosahexaenoate,290,Dementias,1,0,0
73,Docosahexaenoate,290.8,Other specified senile psychotic conditions,1,0,0
73,Docosahexaenoate,294.2,,1,0,0
73,Docosahexaenoate,294.2,Dementia; unspecified; without behavioral disturbance,1,0,0
73,Docosahexaenoate,296.99,Other specified episodic mood disorder,1,0,0
73,Docosahexaenoate,314,Hyperkinetic syndrome of childhood,1,0,0
73,Docosahexaenoate,314.01,Attention deficit disorder of childhood with hyperactivity,1,0,0
73,Docosahexaenoate,314.9,Unspecified hyperkinetic syndrome of childhood,1,0,0
73,Docosahexaenoate,331,Alzheimer's disease,1,0,0
73,Docosahexaenoate,332,Parkinson's disease,1,0,0
73,Docosahexaenoate,332,Paralysis agitans,1,0,0
73,Docosahexaenoate,362.74,Pigmentary retinal dystrophy,1,0,0
73,Docosahexaenoate,429.9,Heart disease NOS,1,0,0
73,Docosahexaenoate,434.91,Cerebral artery occlusion; unspecified; with cerebral infarction,1,0,0
73,Docosahexaenoate,460,Acute nasopharyngitis (common cold),1,0,0
73,Docosahexaenoate,69.92,ARTIFICIAL INSEMINATION,1,0,0
73,Docosahexaenoate,745,Common truncus,1,0,0
73,Docosahexaenoate,765.1,Other preterm infants; unspecified [weight],1,0,0
73,Docosahexaenoate,780.97,Altered mental status,1,0,0
73,Docosahexaenoate,780.99,Other general symptoms,1,0,0
73,Docosahexaenoate,781.2,Abnormality of gait,1,0,0
73,Docosahexaenoate,797,Senility without mention of psychosis,1,0,0
73,Docosahexaenoate,799.21,Nervousness (ADDED),1,0,0
73,Docosahexaenoate,88.7,Diagnostic ultrasound,1,0,0
73,Docosahexaenoate,959.01,Head injury NOS,1,0,0
73,Docosahexaenoate,994.2,Effects of hunger,1,0,0
73,Docosahexaenoate,995.2,Unspecified adverse effect of unspecified drug; medicinal and biological substance,1,0,0
73,Docosahexaenoate,V22.2,Pregnant state; incidental,1,0,0
73,Docosahexaenoate,V25.41,Encounter for surveillance of contraceptive pill,1,0,0
73,Docosahexaenoate,V27.9,Mother with unspecified outcome of delivery,1,0,0
74,4-Aminobenzoic Acid,239.2,Neoplasm of unspecified nature of bone; soft tissue; and skin,1,0,0
74,4-Aminobenzoic Acid,266.2,Other B-complex deficiencies,1,0,0
74,4-Aminobenzoic Acid,338-338.99,,1,0,1
74,4-Aminobenzoic Acid,528.2,Oral aphthae,1,0,1
74,4-Aminobenzoic Acid,528.9,Other and unspecified diseases of the oral soft tissues,1,0,1
74,4-Aminobenzoic Acid,564.1,Irritable bowel syndrome,1,0,0
74,4-Aminobenzoic Acid,569.9,Unspecified disorder of intestine,1,0,0
74,4-Aminobenzoic Acid,607.85,Peyronie's disease,1,0,0
74,4-Aminobenzoic Acid,692.9,Contact dermatitis and other eczema; unspecified cause,1,0,0
74,4-Aminobenzoic Acid,704.3,Variations in hair color,1,0,0
74,4-Aminobenzoic Acid,709.01,Vitiligo,1,0,0
74,4-Aminobenzoic Acid,709.2,Scar conditions and fibrosis of skin,1,0,0
74,4-Aminobenzoic Acid,780.79,Other malaise and fatigue,1,0,0
74,4-Aminobenzoic Acid,780.96,Generalized pain,1,0,1
74,4-Aminobenzoic Acid,796.4,Other abnormal clinical findings,1,0,0
74,4-Aminobenzoic Acid,799.22,Irritability (ADDED),1,0,0
74,4-Aminobenzoic Acid,799.89,Other ill-defined conditions,1,0,0
74,4-Aminobenzoic Acid,995.3,Allergy unspecified not elsewhere classified,1,0,0
74,4-Aminobenzoic Acid,692.7,Unspecified dermatitis due to sun,1,1,0
74,4-Aminobenzoic Acid,692.71,Sunburn,1,1,0
74,4-Aminobenzoic Acid,694.4,Pemphigus,1,1,0
74,4-Aminobenzoic Acid,710.1,Systemic sclerosis,1,1,0
74,4-Aminobenzoic Acid,710.3,Dermatomyositis,1,1,0
90,Eicosapentaenoic Acid,70.7,Unspecified viral hepatitis C,1,0,0
90,Eicosapentaenoic Acid,70.7,Unspecified viral hepatitis C without hepatic coma,1,0,0
90,Eicosapentaenoic Acid,70.9,Unspecified viral hepatitis without mention of hepatic coma,1,0,0
90,Eicosapentaenoic Acid,204,Acute lymphoid leukemia without mention of having achieved remission,1,0,0
90,Eicosapentaenoic Acid,250,Diabetes mellitus,1,0,0
90,Eicosapentaenoic Acid,250,type II diabetes mellitus [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type; not stated as uncontrolled; without mention of complication,1,0,0
90,Eicosapentaenoic Acid,260-269.99,,1,0,0
90,Eicosapentaenoic Acid,269.9,Unspecified nutritional deficiency,1,0,0
90,Eicosapentaenoic Acid,272.4,Other and unspecified hyperlipidemia,1,0,0
90,Eicosapentaenoic Acid,290-299.99,,1,0,0
90,Eicosapentaenoic Acid,295,Schizophrenic disorders,1,0,0
90,Eicosapentaenoic Acid,295.9,Unspecified schizophrenia,1,0,0
90,Eicosapentaenoic Acid,295.9,Unspecified schizophrenia; unspecified state,1,0,0
90,Eicosapentaenoic Acid,296.2,Major depressive disorder; single episode; unspecified degree,1,0,0
90,Eicosapentaenoic Acid,296.5,Bipolar affective disorder; depressed; unspecified degree,1,0,0
90,Eicosapentaenoic Acid,298.8,Other and unspecified reactive psychosis,1,0,0
90,Eicosapentaenoic Acid,298.9,Unspecified psychosis,1,0,0
90,Eicosapentaenoic Acid,300.9,Unspecified nonpsychotic mental disorder,1,0,0
90,Eicosapentaenoic Acid,307.1,Anorexia nervosa,1,0,0
90,Eicosapentaenoic Acid,311,Depressive disorder NEC,1,0,0
90,Eicosapentaenoic Acid,410.9,Acute myocardial infarction; unspecified site; episode of care unspecified,1,0,0
90,Eicosapentaenoic Acid,413,Angina pectoris,1,0,0
90,Eicosapentaenoic Acid,413.9,Other and unspecified angina pectoris,1,0,0
90,Eicosapentaenoic Acid,414,Coronary atherosclerosis,1,0,0
90,Eicosapentaenoic Acid,414,Coronary atherosclerosis of unspecified type of vessel; native or graft,1,0,0
90,Eicosapentaenoic Acid,556,Ulcerative colitis,1,0,0
90,Eicosapentaenoic Acid,556.8,Other ulcerative colitis,1,0,0
90,Eicosapentaenoic Acid,556.9,Ulcerative colitis; unspecified,1,0,0
90,Eicosapentaenoic Acid,571.8,Other chronic nonalcoholic liver disease,1,0,0
90,Eicosapentaenoic Acid,627.2,Symptomatic menopausal or female climacteric states,1,0,0
90,Eicosapentaenoic Acid,728.85,Spasm of muscle,1,0,0
90,Eicosapentaenoic Acid,780.79,Other malaise and fatigue,1,0,0
90,Eicosapentaenoic Acid,782.62,Flushing,1,0,0
90,Eicosapentaenoic Acid,786.5,Unspecified chest pain,1,0,0
90,Eicosapentaenoic Acid,796.4,Other abnormal clinical findings,1,0,0
90,Eicosapentaenoic Acid,797,Senility without mention of psychosis,1,0,0
90,Eicosapentaenoic Acid,799.9,Other unknown and unspecified cause of morbidity or mortality,1,0,0
90,Eicosapentaenoic Acid,88.7,Diagnostic ultrasound,1,0,0
90,Eicosapentaenoic Acid,994.2,Effects of hunger,1,0,0
90,Eicosapentaenoic Acid,997.1,Cardiac complications; not elsewhere classified,1,0,0
90,Eicosapentaenoic Acid,V49.81,Asymptomatic postmenopausal status (age-related) (natural),1,0,0
94,5-Hydroxytryptophan,278,Obesity NOS,1,0,0
94,5-Hydroxytryptophan,296.2,Major depressive disorder; single episode; unspecified degree,1,0,0
94,5-Hydroxytryptophan,300,Anxiety state unspecified,1,0,0
94,5-Hydroxytryptophan,307.51,Bulimia nervosa,1,0,0
94,5-Hydroxytryptophan,307.59,Eating disorder NEC,1,0,0
94,5-Hydroxytryptophan,334,Friedreich's ataxia,1,0,0
94,5-Hydroxytryptophan,729.1,Myalgia and myositis unspecified,1,0,0
94,5-Hydroxytryptophan,780.52,Insomnia; unspecified,1,0,0
99,6-Aminocaproic Acid,00-99.99,,1,0,0
99,6-Aminocaproic Acid,140-239.99,,1,0,1
99,6-Aminocaproic Acid,239,Neoplasms of unspecified nature,1,0,1
