,,,,,,
RXCUI_IN,STR,CUI,ATC,NDDF,CODE,HSP
44,mesna,C0000294,R05CB05,2678,595,1
44,mesna,C0000294,R05CB05,2678,599.7,0
44,mesna,C0000294,R05CB05,2678,599.7,0
44,mesna,C0000294,R05CB05,2678,977.9,1
44,mesna,C0000294,R05CB05,2678,595.9,1
44,mesna,C0000294,R05CB05,2678,791.9,0
44,mesna,C0000294,R05CB05,2678,459,1
44,mesna,C0000294,R05CB05,2678,799.89,0
44,mesna,C0000294,V03AF01,2678,595,1
44,mesna,C0000294,V03AF01,2678,599.7,0
44,mesna,C0000294,V03AF01,2678,599.7,0
44,mesna,C0000294,V03AF01,2678,977.9,1
44,mesna,C0000294,V03AF01,2678,595.9,1
44,mesna,C0000294,V03AF01,2678,791.9,0
44,mesna,C0000294,V03AF01,2678,459,1
44,mesna,C0000294,V03AF01,2678,799.89,0
73,docosahexaenoate,C0000464,,,69.92,0
73,docosahexaenoate,C0000464,,,314,0
73,docosahexaenoate,C0000464,,,331,0
73,docosahexaenoate,C0000464,,,765.1,0
73,docosahexaenoate,C0000464,,,290,0
73,docosahexaenoate,C0000464,,,994.2,0
73,docosahexaenoate,C0000464,,,780.97,0
73,docosahexaenoate,C0000464,,,290.8,0
73,docosahexaenoate,C0000464,,,429.9,0
73,docosahexaenoate,C0000464,,,959.01,0
73,docosahexaenoate,C0000464,,,745,0
73,docosahexaenoate,C0000464,,,781.2,0
73,docosahexaenoate,C0000464,,,V25.41,0
73,docosahexaenoate,C0000464,,,434.91,0
73,docosahexaenoate,C0000464,,,332,0
73,docosahexaenoate,C0000464,,,799.21,0
73,docosahexaenoate,C0000464,,,279.49,0
73,docosahexaenoate,C0000464,,,V27.9,0
73,docosahexaenoate,C0000464,,,314.01,0
73,docosahexaenoate,C0000464,,,185,0
73,docosahexaenoate,C0000464,,,995.2,0
73,docosahexaenoate,C0000464,,,260-269.99,0
73,docosahexaenoate,C0000464,,,88.7,0
73,docosahexaenoate,C0000464,,,294.2,0
