Medication,COUNT
Influenza Virus Vaccine,42
NS,33
Pneumococcal Vac Polyvalent,33
D5W,31
CefazoLIN,30
Amlodipine,29
Atenolol,28
Hydrochlorothiazide,25
Multivitamins,23
LR,23
Amiodarone,23
Simvastatin,23
Metoprolol Succinate XL,22
Calcium Carbonate,22
DiphenhydrAMINE,21
Propofol,21
MetRONIDAZOLE (FLagyl),20
Sodium Bicarbonate,20
Milk of Magnesia,20
Aspirin EC,19
Ranitidine,19
Vitamin D,19
Levothyroxine Sodium,19
HydrALAzine,18
Acetaminophen IV,18
Oxycodone-Acetaminophen,18
Albuterol 0.083% Neb Soln,18
Zolpidem Tartrate,17
Labetalol,17
Clopidogrel,16
Fentanyl Citrate,16
Metoclopramide,16
Enoxaparin Sodium,15
Iso-Osmotic Sodium Chloride,15
Ibuprofen,14
Diazepam,13
Neutra-Phos,13
Aluminum-Magnesium Hydrox.-Simethicone,13
Ipratropium Bromide Neb,13
1/2 NS,13
Dexamethasone,13
Potassium Phosphate,12
FoLIC Acid,12
PredniSONE,12
Chlorhexidine Gluconate 0.12% Oral Rinse,12
Syringe,12
NORepinephrine,12
NIFEdipine CR,12
Ciprofloxacin IV,11
D5 1/2NS,11
Haloperidol,11
PNEUMOcoccal 23-valent polysaccharide vaccine,11
Famotidine,10
PHENYLEPHrine,10
Potassium Chl 20 mEq / 1000 mL D5 1/2 NS,10
Fluticasone Propionate 110mcg,10
Piperacillin-Tazobactam,10
LeVETiracetam,10
Nitroglycerin,10
Glycopyrrolate,10
Ferrous Sulfate,10
Potassium Chloride Replacement (Oncology),9
Albuterol Inhaler,9
TraMADOL (Ultram),9
Thiamine,9
Nitroglycerin SL,9
Pravastatin,8
GlyBURIDE,8
MetFORMIN (Glucophage),8
Losartan Potassium,8
Soln,8
Ketorolac,8
Influenza Vaccine Quadrivalent,8
Albumin 5% (25g / 500mL),7
Potassium Chloride (Powder),7
0.45% Sodium Chloride,7
Docusate Sodium (Liquid),7
Phytonadione,7
Simethicone,7
Diltiazem Extended-Release,7
Lactulose,7
CefePIME,7
CeftriaXONE,7
D5NS,7
traZODONE,7
Tacrolimus,7
Prochlorperazine,7
Midazolam,7
Tamsulosin,7
Acyclovir,7
Oxycodone-Acetaminophen (5mg-325mg),6
Naproxen,6
Daptomycin,6
Dexmedetomidine,6
Fluconazole,6
Isosorbide Mononitrate (Extended Release),6
Syringe (0.9% Sodium Chloride),6
Phenylephrine,6
Ciprofloxacin HCl,6
Quetiapine Fumarate,6
Valsartan,6
Carvedilol,6
5% Dextrose (EXCEL BAG),6
Meropenem,6
Ampicillin-Sulbactam,6
CloniDINE,6
Hydrocodone-Acetaminophen,6
Phenytoin Sodium Extended,5
Metoprolol,5
Scopolamine Patch,5
Readi-Cat 2 (Barium Sulfate 2% Suspension),5
D5LR,5
Vancomycin Oral Liquid,5
Topiramate (Topamax),5
Bupivacaine 0.1%,5
Heparin Flush (100 units/ml),5
Citalopram,5
NS (Mini Bag Plus),5
Cyclobenzaprine,5
Prismasate (B32 K2),5
Cyanocobalamin,4
Albumin 5%,4
Clonazepam,4
Sertraline,4
OLANZapine (Disintegrating Tablet),4
Micafungin,4
Oxycodone SR (OxyconTIN),4
Pantoprazole Sodium,4
Sodium Polystyrene Sulfonate,4
Latanoprost 0.005% Ophth. Soln.,4
Potassium Chloride Replacement (Critical Care and Oncology) ,4
Magnesium Oxide,4
LaMOTrigine,4
Clonidine Patch 0.1 mg/24 hr,4
Magnesium Sulfate Replacement (Oncology),4
Epoetin Alfa,4
HYDROmorphone,4
Atropine Sulfate,4
Fluticasone Propionate NASAL,4
Fish Oil (Omega 3),4
Escitalopram Oxalate,4
QUEtiapine Fumarate,4
Dextrose 5%,4
Albumin 25% (12.5g / 50mL),4
Neostigmine,4
OLANZapine,4
Phosphorus,3
Verapamil,3
Mupirocin Nasal Ointment 2%,3
Methadone,3
Pioglitazone,3
Artificial Tears Preserv. Free,3
Lidocaine 5% Patch,3
Fluticasone-Salmeterol Diskus (500/50) ,3
Ezetimibe,3
Venlafaxine,3
Fluoxetine,3
Albumin 5% (12.5g / 250mL),3
Ascorbic Acid,3
Calcium Replacement (Oncology),3
Digoxin,3
HydrOXYzine,3
Insulin Human Regular,3
PHENObarbital Alcohol Withdrawal Dose Taper (Days 2-7),3
Azithromycin,3
BuPROPion (Sustained Release),3
Yellow CADD Cassette,3
Meperidine,3
GlipiZIDE,3
Dorzolamide 2%/Timolol 0.5% Ophth.,3
GlipiZIDE XL,3
Milrinone,3
Rosuvastatin Calcium,3
Trandolapril,3
ALPRAZolam,3
Mirtazapine,3
Pregabalin,3
Magnesium Citrate,3
NIFEdipine,3
Nystatin Oral Suspension,3
Fexofenadine,3
Maalox/Diphenhydramine/Lidocaine,3
Rituximab,3
Aspirin Desensitization (Angioedema),3
ClonazePAM,3
Miconazole Powder 2%,3
Captopril,3
Eptifibatide,3
Lansoprazole Oral Disintegrating Tab,3
Fluticasone-Salmeterol Diskus (250/50) ,3
Multivitamins W/minerals,3
Leucovorin Calcium,3
Amitriptyline,3
Sulfameth/Trimethoprim DS,3
Verapamil SR,3
Fentanyl Patch,3
Colchicine,3
MetronidAZOLE Topical 1 % Gel,2
Diltiazem,2
Methylprednisolone,2
Hydrocortisone,2
Hydrocortisone Na Succ.,2
Alendronate Sodium,2
Voriconazole,2
Multivitamin IV,2
Citalopram Hydrobromide,2
Tacrolimus Suspension,2
TraZODone,2
Lidocaine-Prilocaine,2
Moexipril,2
Brimonidine Tartrate 0.15% Ophth.,2
Cepastat (Phenol) Lozenge,2
Triamcinolone Acetonide 0.1% Cream,2
Alteplase (Catheter Clearance),2
Fluphenazine,2
Acetaminophen-Caff-Butalbital,2
Carbamazepine,2
Duloxetine,2
Emtricitabine-Tenofovir (Truvada),2
MetFORMIN XR (Glucophage XR),2
Allopurinol,2
Chlorthalidone,2
Alteplase 1mg/1mL ( Clearance ie. Temp TLCL ),2
Prismasate (B22 K4),2
Terazosin,2
Lidocaine Jelly 2% (Urojet),2
Doxazosin,2
MethylPREDNISolone Sodium Succ,2
Lidocaine 1% (For PICC/Midline Insertions),2
Morphine SR (MS Contin),2
Golytely,2
ValGANCIclovir,2
TiCAGRELOR,2
Sodium Chloride Nasal,2
MethylPHENIDATE (Ritalin),2
Syringe (NS),2
DOXOrubicin,2
Promethazine,2
Finasteride,2
Risperidone,2
Methotrexate Sodium,2
Loperamide,2
Ranitidine (Liquid),2
Rocuronium,2
Enalapril Maleate,2
Propafenone HCl,2
Citrate Dextrose 3% (ACD-A) CRRT,2
Methylnaltrexone,2
Oseltamivir,2
OxyCODONE SR (OxyconTIN),2
Nitroglycerin Ointment  2%,2
0.83% Sodium Chloride,2
Lidocaine 1%,2
Clindamycin,2
Heparin Dwell (1000 Units/mL),2
Potassium Chl 20 mEq / 1000 mL NS,2
Fluticasone-Salmeterol Diskus (100/50),2
Levofloxacin,2
Tiotropium Bromide,2
Tuberculin Protein,2
Hydroxyurea,2
Doxycycline Hyclate,2
Guaifenesin-Dextromethorphan,2
Acetaminophen (Liquid),2
PNEUMOcoccal Vac Polyvalent,2
Syringe (LR),2
Guaifenesin,2
Morphine Sulfate IR,2
Olanzapine,2
Sodium CITRATE 4%,2
Sulfameth/Trimethoprim Suspension,1
Acetylcysteine (IV),1
Risperidone Long Acting Injection,1
Caphosol,1
Triamterene,1
Mannitol 20%,1
Heparin (CRRT Machine Priming),1
Chloraseptic Throat Spray,1
Caspofungin,1
Fenofibrate,1
Tobramycin Sulfate,1
Isotonic Sodium Chloride,1
PHENObarbital,1
Gentamicin,1
Rivaroxaban,1
Phenazopyridine HCl,1
Fondaparinux Sodium,1
Thrombin,1
Bupivacaine 0.5%,1
Anti-Thymocyte Globulin (Rabbit),1
Vancomycin Enema,1
Perphenazine,1
Bacitracin/Polymyxin B Sulfate Opht. Oint,1
Hydrocortisone Cream 0.5%,1
Divalproex (DELayed Release),1
Montelukast,1
TB Syringe,1
Linezolid,1
PrednisoLONE Acetate 1% Ophth. Susp.,1
Vitamin B Complex,1
Etoposide,1
Niacin,1
Norepinephrine,1
Dextran 40 10% in D5W,1
Lidocaine 2%,1
Olanzapine (Disintegrating Tablet),1
Triamterene-Hydrochlorothiazide,1
Gastroview (Diatrizoate Meglumine & Sodium),1
Psyllium Wafer,1
RISperidone,1
Benztropine Mesylate,1
Meclizine,1
300 mcg Vial,1
Quinapril,1
CARBOplatin,1
Ipratropium Bromide MDI,1
Albuterol Sulfate (Extended Release),1
Protamine Sulfate,1
Midodrine,1
GlyBUR,1
Propranolol,1
Miconazole 2% Cream,1
Avapro,1
Metoprolol XL (Toprol XL),1
Fleet Enema,1
Bottle,1
Ibuprofen Suspension,1
Esmolol,1
Phenoxybenzamine HCl,1
Ambisome,1
Miconazole Nitrate (Combo Pack),1
Cephalexin,1
Indomethacin,1
Oxymetazoline,1
Vasopressin,1
Propranolol LA,1
Phenytoin,1
Methimazole,1
MoviPrep,1
Atovaquone Suspension,1
Albuterol-Ipratropium,1
Adenosine,1
EPINEPHrine,1
Repaglinide,1
Desmopressin Acetate,1
Nitroprusside Sodium,1
Clevidipine,1
Methocarbamol,1
VinCRIStine (Oncovin),1
Ganciclovir,1
Amino Acids 5%-Dextrose 15%,1
Sulfamethoxazole-Trimethoprim,1
Heparin (IABP),1
AcetaZOLamide Sodium,1
Fluphenazine Decanoate,1
Sarna Lotion,1
Clonidine Patch 0.3 mg/24 hr,1
Oxazepam,1
Psyllium,1
Vitamin A,1
Tizanidine,1
Syringe (PCA),1
Sodium Chloride,1
Gammagard Liquid,1
Clotrimazole Cream,1
Ferrous Gluconate,1
Ramipril,1
Mesalamine,1
Piperacillin-Tazobactam Na,1
CeftazIDIME,1
Heparin Flush PICC (100 units/ml),1
Mycophenolate Mofetil,1
N-Acetylcysteine,1
Prevpac,1
Vitamin E,1
Potassium Chl 40 mEq / 1000 mL D5 1/2 NS,1
Baclofen,1
Artificial Tears,1
Propoxyphene Nap.-Apap (N-100),1
Azathioprine,1
NiCARdipine IV,1
Donepezil,1
Metolazone,1
Nimodipine,1
Sodium Phosphate,1
Atazanavir,1
Amikacin,1
Insulin (Regular) for Hyperkalemia,1
D5W (EXCEL BAG),1
Aluminum Hydroxide Suspension,1
Orabase w/ Benzocaine Paste,1
Salmeterol Xinafoate Diskus (50 mcg),1
Sulfameth/Trimethoprim SS,1
Guaifenesin-CODEINE Phosphate,1
Oxybutynin,1
Risperidone (Disintegrating Tablet),1
Insulin Pump (Self Administering Medication),1
Chlorothiazide,1
Acetaminophen w/Codeine,1
Fluvoxamine Maleate,1
Epinephrine 1:1000,1
Hyoscyamine,1
Clobazam,1
Benzonatate,1
raloxifene,1
Isosorbide Dinitrate,1
Theophylline SR,1
Alprazolam,1
Docusat,1
Advair Diskus,1
Valproic Acid,1
Ropivacaine 0.2%,1
Carbidopa-Levodopa (25-250),1
Valproate Sodium,1
Vecuronium Bromide,1
Docusate Sodiu,1
Calcium Acetate,1
LaMIVudine-Zidovudine (Combivir),1
BuPROPion,1
Tigecycline,1
Mycophenolate Mofetil Suspension,1
Clonidine Patch 0.2 mg/24 hr,1
Cardizem CD,1
Ampicillin Sodium,1
modafinil,1
naltrexone,1
Codeine Sulfate,1
Namenda,1
HumuLIN N,1
Promethazine HCl,1
Divalproex Sod. Sprinkles,1
Triazolam,1
Nicotine Patch,1
Fosaprepitant,1
Methotrexate,1
Isoniazid,1
Divalproex (EXTended Release),1
Adderall,1
Dipyridamole-Aspirin,1
Ursodiol,1
Tolterodine,1
Nafcillin,1
Racepinephrine,1
Spironolactone,1
